block_id,state,rows,start_utc,end_utc,duration_h,min_f_cnt,max_f_cnt,swt_rows,min_bat_v,max_bat_v,distinct_payloads
1,good,131,2026-06-17T00:02:21.306000+00:00,2026-06-17T10:52:18.559000+00:00,10.83,299,429,131,3.6,3.6,131
2,i2c_missing,8,2026-06-17T10:57:18.137000+00:00,2026-06-17T11:32:17.999000+00:00,0.58,430,437,0,3.6,3.6,7
3,good,12,2026-06-17T11:37:18.827000+00:00,2026-06-17T12:32:18.187000+00:00,0.92,438,449,12,3.6,3.6,12
4,i2c_missing,3,2026-06-17T12:37:17.775000+00:00,2026-06-17T12:47:17.978000+00:00,0.17,450,452,0,3.6,3.6,3
5,good,10,2026-06-17T12:52:18.114000+00:00,2026-06-17T13:37:17.947000+00:00,0.75,453,462,10,3.6,3.6,10
6,i2c_missing,21,2026-06-17T13:42:17.521000+00:00,2026-06-17T15:22:17.139000+00:00,1.67,463,483,0,3.6,3.6,13
7,good,291,2026-06-17T15:27:17.536000+00:00,2026-06-18T15:37:12.007000+00:00,24.17,484,774,291,3.6,3.6,285
8,i2c_missing,10,2026-06-18T15:42:11.792000+00:00,2026-06-18T16:27:11.635000+00:00,0.75,775,784,0,3.6,3.6,6
9,good,36,2026-06-18T16:32:11.774000+00:00,2026-06-18T19:27:11.095000+00:00,2.92,785,820,36,3.6,3.6,35
10,i2c_missing,515,2026-06-18T19:32:10.677000+00:00,2026-06-20T14:27:00.854000+00:00,42.91,821,1336,0,3.6,3.6,100
11,good,7,2026-06-20T15:10:24.791000+00:00,2026-06-20T15:40:22.134000+00:00,0.5,0,6,7,3.6,3.6,7
12,i2c_missing,2,2026-06-20T15:45:21.650000+00:00,2026-06-20T15:50:21.702000+00:00,0.08,7,8,0,3.6,3.6,2
13,good,231,2026-06-20T15:55:22.079000+00:00,2026-06-21T11:05:17.554000+00:00,19.17,9,239,231,3.6,3.6,225
14,i2c_missing,28,2026-06-21T11:10:17.136000+00:00,2026-06-21T13:25:16.603000+00:00,2.25,240,267,0,3.6,3.6,19
15,good,125,2026-06-21T13:30:16.979000+00:00,2026-06-21T23:50:14.548000+00:00,10.33,268,392,125,3.6,3.6,124
16,i2c_missing,21,2026-06-21T23:55:14.128000+00:00,2026-06-22T01:35:13.733000+00:00,1.67,393,413,0,3.6,3.6,15
17,good,158,2026-06-22T01:40:14.112000+00:00,2026-06-22T14:45:11.027000+00:00,13.08,414,571,158,3.6,3.6,157
18,i2c_missing,3,2026-06-22T14:50:10.821000+00:00,2026-06-22T15:00:10.815000+00:00,0.17,572,574,0,3.6,3.6,3
19,good,56,2026-06-22T15:05:10.951000+00:00,2026-06-22T19:40:09.886000+00:00,4.58,575,630,56,3.6,3.6,56
20,i2c_missing,71,2026-06-22T19:45:09.465000+00:00,2026-06-23T01:35:08.492000+00:00,5.83,631,701,0,3.6,3.6,32
21,good,128,2026-06-23T01:40:09.075000+00:00,2026-06-23T12:15:06.500000+00:00,10.58,702,829,128,3.6,3.6,128
22,i2c_missing,6,2026-06-23T12:20:05.614000+00:00,2026-06-23T12:45:05.429000+00:00,0.42,830,835,0,3.6,3.6,6
23,good,210,2026-06-23T12:50:05.805000+00:00,2026-06-24T06:15:01.684000+00:00,17.42,836,1045,210,3.6,3.6,209
